transaction_id,account_id,customer_id,customer_name,email,phone,transaction_date,amount,transaction_type,currency,merchant,merchant_category,balance,credit_limit,fraud_flag,status,card_number,routing_number,last_updated
TXN-00000001,ACC-6237492,CUST-30128,Joel Hall,jamie79@example.org,323.931.6716x29968,2020-03-24,9158.06,Debit,USD,,Online,43485.72,47395.74,0,Reversed,5680972581568541,489311064,2023-06-02
TXN-00000002,ACC-2118934,CUST-77303,Elizabeth Maddox,kenneth23@example.org,(821)956-0232x474,2022-05-21,5479.81,Transfer,CAD,,Entertainment,47405.26,65974.3,0,Completed,9206955231156242,944721129,2023-08-06
TXN-00000003,ACC-5638123,CUST-23896,Brandi Snyder,michael13@example.com,9356979780,2023-03-14,7800.24,Refund,EUR,Donovan-Davis,Travel,19519.81,51915.99,0,Reversed,1510690799887172,869262479,2023-06-29
TXN-00000004,ACC-9062552,CUST-48343,Jose Butler,ywilliamson@example.org,+1-236-493-9499x572,2022-11-23,11351.28,Debit,USD,,Travel,7870.19,42579.01,0,Reversed,7600397845002416,498927805,2020-07-07
TXN-00000005,ACC-2515453,CUST-71438,Steven Martin,turnersuzanne@example.org,546-381-3893,2023-01-12,14725.9,Fee,EUR,Morgan and Sons,Entertainment,26246.37,89458.73,0,Failed,6568611877889990,737501776,2024-09-08
TXN-00000006,ACC-3240052,CUST-70315,Jeffrey Jennings,bailey35@example.net,+1-724-393-7104x17628,2024-01-24,351.54,Debit,EUR,"Parker, Crosby and Thomas",Online,20730.63,16123.49,0,Reversed,9234144134823805,344812050,2022-08-23
TXN-00000007,ACC-8187582,CUST-51465,Danielle Smith,jenkinsmary@example.net,803-297-6211x880,2024-08-14,$10189.81,Transfer,CAD,"Watts, Fuller and Morris",Online,28447.05,4555.24,0,Failed,8635831762915251,175807584,2023-07-08
TXN-00000008,ACC-4397806,CUST-87771,Ryan Gordon,rodriguezdeborah@example.org,699-312-0624,2022-12-10,$11866.03,Credit,CAD,"Hampton, Morgan and Hayes",Grocery,20746.32,32082.06,0,Pending,8582942420866779,726190692,2020-05-12
TXN-00000009,ACC-6075106,CUST-58443,Nicole Jones,udeleon@example.com,+1-615-509-9575x68113,2022-11-10,4806.42,Fee,JPY,Hunt-Woods,Dining,29927.67,56224.81,0,PENDING,9282531893848262,541334646,2021-02-24
TXN-00000010,ACC-9036062,CUST-62244,Daniel White,megangreen@example.org,+1-428-822-3596x347,2020-06-11,7877.09,Debit,EUR,Martin Inc,Dining,42992.85,95989.0,0,Pending,2876145664672445,687532232,2024-12-04
