policy_id,claim_id,customer_id,customer_name,ssn,email,phone,address,zip_code,state,policy_type,coverage_amount,premium,deductible,policy_start,policy_end,claim_date,claim_amount,claim_status,adjuster,settlement_amount,last_updated
POL-0000001,,CUST-40121,Daniel Williamson,621-11-4119,hughessherry@example.com,(280)639-0756x1138,2674 Scott Square,48051,WA,Auto,1985248.2,9281.75,8312.15,2025-04-11,2026-04-11,2025-06-21,311324.4,Under Review,Jesse Tyler,,2024-12-18
POL-0000002,CLM-00000002,CUST-13779,Rachel George,913-44-9435,valerie69@example.com,(858)866-6304,032 Lisa Forest,95748,NC,Health,1473957.03,17724.36,5525.88,2022-09-26,2026-09-25,2024-06-27,129009.98,Settled,Louis Moyer,106570.07,2024-05-20
POL-0000003,CLM-00000003,CUST-27455,Kathryn Wagner,995-71-9604,fberry@example.com,300.383.0248x87646,98833 Sharon Meadow,16604,CA,Commercial,930306.95,9001.35,9095.19,2023-07-19,2028-07-17,2024-11-06,102886.6,Under Review,Jesse Tyler,,2025-02-23
POL-0000004,,CUST-15110,John Duffy,529-32-1511,nielsenjoanna@example.com,258.502.1883x429,9513 Sara Spurs,15145,IL,Home,1689347.37,21617.39,5727.49,2024-01-16,2029-01-14,2024-04-16,535387.72,Settled,Karen Miller,515642.14,2026-03-22
POL-0000005,,CUST-84898,Lindsay Walker,872-42-9934,johnsondaniel@example.net,9022679935,763 Sandra Prairie,62684,GA,Home,1090257.6,2734.22,6578.07,2021-01-12,2023-01-12,2022-01-28,742787.14,Settled,Michelle Davis,727627.69,2025-02-26
POL-0000006,CLM-00000006,CUST-86887,Rita Duncan,165-25-9940,maddenjoanna@example.org,374-629-0629,05962 Adams Hollow Apt. 878,06340,WA,Health,1695003.35,4321.61,3594.72,2020-11-23,2024-11-22,2021-09-25,1110949.29,Approved,Kenneth White,,2024-06-07
POL-0000007,CLM-00000007,CUST-39957,Wendy Johnson,115-23-9259,kingwilliam@example.net,001-712-250-3754,080 Martin Shores Suite 514,81413,CA,Commercial,1558619.22,13133.35,3540.27,2022-12-24,2026-12-23,2025-02-11,218646.08,Approved,Brian Hernandez,,2024-05-19
POL-0000008,CLM-00000008,CUST-72310,Steven Serrano IV,921-33-8942,zbennett@example.org,672.527.4517x7630,3114 Dennis Gardens,31228,WA,Life,1710008.8,5968.45,3602.46,2021-12-17,2023-12-17,2022-07-03,22670.74,Under Review,Kenneth White,,2024-07-07
POL-0000009,CLM-00000009,CUST-25802,Mark Sanders,817-44-4630,melissa28@example.com,515-530-6337x73180,138 Carney Ville,28948,IL,Health,1559370.3,17881.43,3991.15,2024-04-15,2028-04-14,2025-09-27,910315.96,Under Review,Jesse Tyler,,2025-06-22
POL-0000010,CLM-00000010,CUST-67563,Elizabeth Gomez,235-69-8221,daviscourtney@example.net,6878577774,060 Samantha Alley,07986,AZ,Health,325786.27,3419.24,5212.05,2022-02-01,2027-01-31,2025-11-25,120467.7,Approved,John Meyer,,2026-01-07
